"Case" "CouponRate" "BidPrice"
"1" 1 7 92.94
"2" 2 9 101.44
"3" 3 7 92.66
"5" 5 13.125 118.94
"6" 6 8 96.75
"7" 7 8.75 100.88
"8" 8 12.625 117.25
"9" 9 9.5 103.34
"10" 10 10.125 106.25
"11" 11 11.625 113.19
"12" 12 8.625 99.44
"14" 14 10.5 108.31
"15" 15 11.25 111.69
"16" 16 8.375 98.09
"17" 17 10.375 107.91
"18" 18 11.25 111.97
"19" 19 12.625 119.06
"20" 20 8.875 100.38
"21" 21 10.5 108.5
"22" 22 8.625 99.25
"23" 23 9.5 103.63
"24" 24 11.5 114.03
"25" 25 8.875 100.38
"26" 26 7.375 92.06
"27" 27 7.25 90.88
"28" 28 8.625 98.41
"29" 29 8.5 97.75
"30" 30 8.875 99.88
"31" 31 8.125 95.16
"32" 32 9 100.66
"33" 33 9.25 102.31
"34" 34 7 88
