"case" "x" "y"
"1" 6.85875600567306 2.83321334405622
"2" 7.55389770057474 3.40119738166216
"3" 10.5103372780812 4.21950770517611
"4" 9.15376467220219 4.15888308335967
"5" 4.79583152331272 2.39789527279837
"6" 7.5165010189118 4.00733318523247
"7" 4.8361173607609 2.99573227355399
"8" 8.27194907976494 3.89182029811063
"9" 8.84190483678536 4.23410650459726
"10" 8.56238234915236 4.21950770517611
"11" 9.03579412712578 3.89182029811063
"12" 7.91768350432309 3.76120011569356
"13" 8.08032507833823 3.43398720448515
"14" 6.557438524302 2.83321334405622
"15" 5.07432619952319 2.56494935746154
"16" 4.2589150199572 2.56494935746154
"17" 7.26776792316438 3.76120011569356
"18" 4.33454660005587 2.70805020110221
"19" 7.29303397687744 3.40119738166216
"20" 4.36492369730075 2.99573227355399
"21" 9.17423030286483 3.71357206670431
"22" 6.03669895858467 2.70805020110221
"23" 4.14082457965587 2.56494935746154
"24" 4.04607285447814 2.39789527279837
"25" 6.45114750206269 3.17805383034795
"26" 4.74517233600587 2.39789527279837
"27" 6.20875756772583 3.3322045101752
"28" 4.81161862636478 3.09104245335832
"29" 5.40110213675224 2.19722457733622
"30" 9.06748141240873 3.76120011569356
"31" 11.2292119994764 4.87519732320115
