"location" "type" "rep" "oxide"
1 "virgin" 1 90.1
1 "virgin" 2 90.7
1 "virgin" 3 89.4
1 "in-house" 1 90.4
1 "in-house" 2 88.8
1 "in-house" 3 90.6
1 "ext" 1 92.6
1 "ext" 2 90.0
1 "ext" 3 93.3
2 "virgin" 1 91.9
2 "virgin" 2 88.6
2 "virgin" 3 89.7
2 "in-house" 1 90.3
2 "in-house" 2 91.9
2 "in-house" 3 91.5
2 "ext" 1 88.3
2 "ext" 2 88.2
2 "ext" 3 89.4
3 "virgin" 1 88.1
3 "virgin" 2 90.2
3 "virgin" 3 86.6
3 "in-house" 1 91.0
3 "in-house" 2 90.4
3 "in-house" 3 90.2
3 "ext" 1 91.5
3 "ext" 2 89.8
3 "ext" 3 89.8

