id situps situp.cen uwm uwf hm hf owm owf om of
1 42 0 0 0 1 0 0 0 0 0
2 27 0 0 0 1 0 0 0 0 0
4 37 0 0 0 1 0 0 0 0 0
5 5 0 0 0 0 0 0 0 1 0
6 35 0 0 0 1 0 0 0 0 0
7 55 0 0 0 1 0 0 0 0 0
8 40 0 0 0 1 0 0 0 0 0
9 27 0 0 0 1 0 0 0 0 0
10 25 0 0 0 1 0 0 0 0 0
11 36 0 0 0 1 0 0 0 0 0
12 23 0 0 0 0 0 0 0 1 0
13 75 75 0 0 1 0 0 0 0 0
14 25 0 0 0 0 0 1 0 0 0
16 160 160 0 0 1 0 0 0 0 0
18 31 0 0 0 1 0 0 0 0 0
19 27 0 0 0 0 0 1 0 0 0
20 13 0 0 0 0 0 0 0 1 0
23 25 0 0 0 0 0 1 0 0 0
24 31 0 0 0 0 0 1 0 0 0
25 57 0 0 0 1 0 0 0 0 0
27 21 0 0 0 1 0 0 0 0 0
28 37 0 0 0 1 0 0 0 0 0
29 75 75 0 0 1 0 0 0 0 0
30 24 0 0 0 1 0 0 0 0 0
31 33 0 0 0 0 0 0 0 1 0
33 28 0 0 0 1 0 0 0 0 0
34 32 0 0 0 1 0 0 0 0 0
35 32 0 0 0 1 0 0 0 0 0
37 44 0 0 0 1 0 0 0 0 0
40 43 0 0 0 0 0 0 0 1 0
42 150 150 0 0 1 0 0 0 0 0
43 25 0 0 0 1 0 0 0 0 0
44 21 0 0 0 0 0 0 0 1 0
49 212 212 0 0 1 0 0 0 0 0
50 100 100 0 0 1 0 0 0 0 0
52 25 0 0 0 1 0 0 0 0 0
53 33 0 0 0 1 0 0 0 0 0
54 55 0 0 0 1 0 0 0 0 0
55 50 0 0 0 1 0 0 0 0 0
56 30 0 0 0 1 0 0 0 0 0
57 33 0 0 0 1 0 0 0 0 0
59 50 0 0 0 1 0 0 0 0 0
61 12 0 0 0 1 0 0 0 0 0
62 55 0 0 0 0 0 1 0 0 0
63 25 0 1 0 0 0 0 0 0 0
64 46 0 0 0 0 0 1 0 0 0
65 43 0 0 0 1 0 0 0 0 0
66 23 0 0 0 0 0 0 0 1 0
67 225 225 0 0 1 0 0 0 0 0
71 31 0 0 0 1 0 0 0 0 0
72 35 0 0 0 0 0 0 0 1 0
73 55 0 0 0 0 1 0 0 0 0
75 33 0 0 0 0 0 0 1 0 0
77 150 150 0 0 0 1 0 0 0 0
78 50 0 0 0 0 1 0 0 0 0
80 80 80 0 0 0 1 0 0 0 0
81 13 0 0 0 0 0 0 0 0 1
82 22 0 0 0 0 1 0 0 0 0
